gtype	start	end	strand	function	CCNA	CC	geneName	rpkM
CDS	7707109	7708056	-	hot dog superfamily thioesterase	CCNA_00361	CC_0356		38.7760716256
CDS	7706572	7707057	-	zinc uptake regulation protein	CCNA_00362	CC_0357		151.91015839
CDS	7705759	7706535	-	PAP2 bacterial acid phosphatase	CCNA_00363	CC_0358		18.7165651376
CDS	7704586	7705680	-	deoxyhypusine synthase	CCNA_00364	CC_0359		887.560986926
CDS	7703204	7704463	-	ornithine decarboxylase	CCNA_00365	CC_0360		520.317262776
CDS	7697774	7698283	-	ATP synthase B chain	CCNA_00370	CC_0365		4741.73601346
CDS	7697230	7697763	-	ATP synthase B' chain	CCNA_00371	CC_0366		1688.75308539
CDS	7696879	7697103	-	ATP synthase C chain	CCNA_00372	CC_0367		15254.6259278
CDS	7696068	7696829	-	ATP synthase A chain	CCNA_00373	CC_0368		886.955769608
CDS	7695682	7696062	-	putative ATP synthase protein I	CCNA_00374	CC_0369		3013.29995968
CDS	7690463	7693906	-	chromosome partition protein Smc	CCNA_00377	CC_0373	smc	31.9212918769
CDS	7689833	7690441	-	thiol:disulfide interchange protein dsbA	CCNA_00378	CC_0374		167.88432869
CDS	7689219	7689833	-	thiol:disulfide interchange protein dsbA	CCNA_00379	CC_0375		364.481515704
CDS	7688441	7688980	-	conserved hypothetical cytosolic protein	CCNA_00380	CC_0376		63.3233176859
CDS	7686146	7687222	-	adenine-specific methyltransferase ccrM	CCNA_00382	CC_0378	ccrM	290.076284055
CDS	7685372	7686007	-	ribonuclease HII	CCNA_00383	CC_0379		156.1906318
CDS	7682414	7683001	-	DNA-3-methyladenine glycosylase	CCNA_00386	CC_0382		47.6625399387
CDS	7680853	7681734	-	esterase lipase Family protein	CCNA_00388	CC_0384		296.705405853
CDS	7679964	7680755	-	aminomethyltransferase family protein	CCNA_00389	CC_0385		24.4419920118
CDS	7675307	7676533	-	RNA polymerase sigma factor	CCNA_00393	CC_0389		11.4425778981
CDS	7674960	7675310	-	YCII-related domain protein	CCNA_00394	CC_0390		113.529252585
CDS	7672249	7672926	-	hypothetical protein	CCNA_00396	CC_0392		55.0754933141
CDS	7669095	7670453	-	hypothetical protein	CCNA_00398	CC_0394		1490.8867579
CDS	7663321	7663689	-	DNA transformation protein tfoX	CCNA_00406	CC_0401	tfoX	45.6652425011
CDS	7661551	7662819	-	antiporter protein	CCNA_00408	CC_0403		31.0461180634
CDS	7656275	7657246	-	hypothetical protein	CCNA_00415	CC_0410		388.801643594
CDS	7655736	7656134	-	hypothetical protein	CCNA_00416	CC_0411		73.1313914021
CDS	7655361	7655732	-	hypothetical protein	CCNA_00417	CC_0412		87.1746948329
CDS	7653974	7654525	-	hypothetical protein	CCNA_00420	CC_0415		46.8152860139
CDS	7653573	7653977	-	dihydroneopterin aldolase	CCNA_00421	CC_0416		101.390590087
CDS	7652771	7653523	-	SDR pteridine reductase	CCNA_00422	CC_0417		121.203634782
CDS	7652689	7652769	-	hypothetical protein	CCNA_03919	NA		217.078606846
CDS	7649765	7650226	-	hypothetical protein	CCNA_00425	CC_0420		33.1363140407
CDS	7648118	7648303	-	hypothetical protein	CCNA_00430	NA		9.63903984705
CDS	7647209	7647703	-	AsnC-family transcriptional regulator	CCNA_00432	CC_0424		24.2339750585
CDS	7640659	7640970	-	hypothetical protein	CCNA_00438	CC_0429		8959.29841426
CDS	7626002	7627138	-	N-acetylglucosamine-6-phosphate deacetylase	CCNA_00452	CC_0443		32.4742778674
CDS	7624911	7626002	-	glucosamine-6-phosphate deaminase	CCNA_00453	CC_0444		23.5622564482
CDS	7624070	7624882	-	GntR-family transcriptional regulator	CCNA_00454	CC_0445		63.1399407554
CDS	7623991	7624059	-	hypothetical protein	CCNA_03920	NA		79.9255931853
CDS	7603926	7604039	-	UDP glucuronic acid epimerase-related protein	CCNA_00468	NA		72.6835707386
CDS	7602405	7603628	-	GT1-family glycosyltransferase	CCNA_00469	NA		441.730343393
CDS	7599727	7601070	-	O-antigen polymerase	CCNA_00470	NA		183.725661588
CDS	7598732	7599700	-	GDP-L-fucose synthase	CCNA_00471	NA		364.636747423
CDS	7597690	7598766	-	GDP-mannose 4,6 dehydratase	CCNA_00472	NA		486.486143578
CDS	7597091	7597585	-	hypothetical protein	CCNA_00473	NA		6.56477032007
CDS	7594281	7597091	-	DNA relaxase/conjugal transfer nickase-helicase trwC	CCNA_00474	NA	trwC	5.88781741501
CDS	7592530	7594347	-	bacterial conjugation protein, ATP binding domain trwB	CCNA_00475	NA	trwB	3.76311391406
CDS	7592150	7592533	-	hypothetical protein	CCNA_00476	NA		1.55367441791
CDS	7591575	7591769	-	excisionase	CCNA_00477	NA		11.368455936
CDS	7590716	7591453	-	hypothetical protein	CCNA_00478	NA		43.8350216028
CDS	7588837	7590135	-	bacteriophage P4 integrase	CCNA_00480	NA		5.81683054249
tRNA	7586685	7586774	-	tRNA-Ser	CCNA_R0007	CC_t03		23262.6123635
CDS	7585635	7586480	-	Zn-dependent hydrolase, glyoxalase II family	CCNA_00483	CC_0451		214.818183434
CDS	7584844	7585545	-	hypothetical protein	CCNA_00484	CC_0452		67.5368767754
CDS	7583717	7584745	-	ribosomal large subunit pseudouridine synthase D	CCNA_00485	CC_0453		37.4425164778
CDS	7578518	7579144	-	amino acid efflux permease	CCNA_00488	CC_0456		37.3754299824
CDS	7578112	7578531	-	phosphoribosyl-AMP cyclohydrolase	CCNA_00489	CC_0457		148.756157176
CDS	7576351	7576989	-	GTP cyclohydrolase I	CCNA_00491	CC_0459		393.110248755
CDS	7570455	7570574	-	hypothetical protein	CCNA_00498	NA		114.451386562
CDS	7570014	7570379	-	hypothetical protein	CCNA_00499	CC_0466		46.2133131347
CDS	7569118	7570017	-	hydroxymethylglutaryl-CoA lyase	CCNA_00500	CC_0467		64.0995064351
CDS	7567442	7569121	-	glucosyltransferase	CCNA_00501	CC_0468		67.9425540956
CDS	7565666	7566130	-	23S rRNA methyltransferase	CCNA_00504	CC_0471		131.924588609
CDS	7561932	7562705	-	aspartate protease	CCNA_00508	CC_0475		13.7729419143
CDS	7561333	7561866	-	phosphoglycerate mutase family	CCNA_00509	CC_0476		9.20454395355
CDS	7560659	7561336	-	carboxymethylenebutenolidase	CCNA_00510	CC_0477		21.9810626601
CDS	7559979	7560659	-	carboxymethylenebutenolidase	CCNA_00511	CC_0478		49.3273474445
CDS	7558814	7559914	-	GTP-binding protein, probable translation factor	CCNA_00512	CC_0479		312.805618543
CDS	7553427	7554176	-	integral membrane protein	CCNA_00516	CC_0483		58.5143124207
CDS	7552807	7553424	-	peptidyl-tRNA hydrolase	CCNA_00517	CC_0484		117.865779625
CDS	7552807	7553424	-	peptidyl-tRNA hydrolase	CCNA_00517	CC_0484		117.865779625
CDS	7552126	7552719	-	LSU ribosomal protein L25P	CCNA_00518	CC_0485		2555.79417848
CDS	7550892	7551968	-	hypothetical protein	CCNA_00519	CC_0486		134.676065342
CDS	7549723	7550661	-	ribose-phosphate pyrophosphokinase	CCNA_00520	CC_0487		223.691622991
CDS	7549331	7549582	-	antitoxin protein	CCNA_00521	CC_0488		208.821052439
CDS	7549054	7549350	-	BrnT-related ribonuclease toxin	CCNA_00522	CC_0489	brnT	404.66435252
CDS	7548221	7549006	-	multicopper polyphenol oxidase	CCNA_00523	CC_0490		102.182373621
CDS	7547100	7548224	-	conserved hypothetical cytosolic protein	CCNA_00524	CC_0491		76.6273274472
CDS	7546205	7547113	-	prolipoprotein diacylglyceryl transferase	CCNA_00525	CC_0492		81.4291874047
CDS	7539672	7540994	-	secreted polysaccharide polymerase hfsI	CCNA_00533	CC_0499	hfsI	24.9924170233
CDS	7526150	7527610	-	salicylate hydroxylase	CCNA_00539	CC_0505		6.27668982992
CDS	7525083	7525955	-	coproporphyrinogen III oxidase	CCNA_00540	CC_0506		104.349074447
CDS	7524887	7524952	-	hypothetical protein	CCNA_03923	NA		27.118680749
CDS	7524195	7524518	-	hypothetical protein	CCNA_00542	CC_0508		145.329752809
CDS	7523496	7524146	-	methyl-accepting chemotaxis protein	CCNA_00543	CC_0509		97.2231147507
CDS	7517159	7517599	-	hypothetical protein	CCNA_00551	CC_0517		49.5270136212
CDS	7516433	7516903	-	cupin superfamily protein	CCNA_00552	CC_0518		73.48730803
CDS	7515687	7516436	-	hydroxyacylglutathione hydrolase	CCNA_00553	CC_0519		29.5579854337
CDS	7512060	7512839	-	endonuclease/exonuclease/phosphatase family protein	CCNA_00557	CC_0523		49.5350959125
CDS	7511398	7512063	-	methyltransferase	CCNA_00558	CC_0524		49.3378842914
CDS	7510122	7511270	-	homoserine O-acetyltransferase	CCNA_00559	CC_0525		77.4885514992
CDS	7504081	7505823	-	gamma-glutamyltranspeptidase	CCNA_00565	CC_0531		79.9811180015
CDS	7502318	7503529	-	mannonate dehydratase	CCNA_00566	CC_0532		45.7020939497
CDS	7499883	7502195	-	alpha-1,2-mannosidase	CCNA_00567	CC_0533		8.0510750193
CDS	7498748	7499911	-	N-acetylglucosamine-6-phosphate deacetylase	CCNA_00568	CC_0534		9.86338118091
CDS	7497672	7498748	-	glucosamine-6-phosphate deaminase	CCNA_00569	CC_0535		7.31953476604
CDS	7496729	7497634	-	GntR-family transcriptional regulator	CCNA_00570	CC_0536		44.3308275908
CDS	7479850	7481649	-	endonuclease	CCNA_00579	CC_0545		11.2222087228
CDS	7476569	7479652	-	AAA ATPase domain protein	CCNA_00580	CC_0546		3.27005364461
CDS	7474794	7476572	-	trypsin-like peptidase domain family protein	CCNA_03886	NA		10.6226691355
CDS	7472654	7474021	-	lysozyme family protein	CCNA_00583	CC_0549		4.26157022636
CDS	7470113	7471444	-	LytR/AlgR-family transcriptional regulator	CCNA_00586	CC_0552		13.07794979
CDS	7467292	7468008	-	hypothetical protein	CCNA_00589	CC_0554		35.0070568504
CDS	7466135	7467244	-	FixC-family flavoprotein dehydrogenase	CCNA_00590	CC_0555		16.9622282013
CDS	7464068	7466131	-	hypothetical protein	CCNA_00591	CC_0556		42.4148897638
CDS	7462988	7464055	-	ferritin superfamily protein	CCNA_00592	CC_0557		70.7638306719
CDS	7461342	7462925	-	hypothetical protein	CCNA_00593	CC_0558		29.6615350494
CDS	7459517	7461337	-	hypothetical protein	CCNA_00594	CC_0559		42.1941898501
CDS	7457971	7458960	-	FecR family protein	CCNA_00595	CC_0560		30.4836608758
CDS	7457495	7458013	-	RpoE-family sigma factor	CCNA_00596	CC_0561		69.7192761066
CDS	7451043	7453973	-	TonB-dependent receptor	CCNA_00598	CC_0563		3.59160826634
CDS	7443949	7444737	-	hypothetical protein	CCNA_00605	CC_0570		248.903613652
CDS	7431680	7432564	-	L-asparaginase	CCNA_00612	CC_0576		26.147606592
CDS	7430340	7431683	-	cyanophycinase	CCNA_00613	CC_0577		9.57892668681
CDS	7428976	7430463	-	short-chain fatty acids transporter	CCNA_00614	CC_0578		27.0568825436
CDS	7425996	7428914	-	TonB-dependent receptor	CCNA_00615	CC_0579		46.2146993117
CDS	7425828	7425899	-	hypothetical protein	CCNA_03924	NA		1098.53982464
CDS	7425247	7425702	-	Lrp-family transcriptional regulator	CCNA_00616	CC_0580		15.1025621217
CDS	7419258	7419812	-	conserved domain hypothetical protein	CCNA_00621	CC_0585		23.4420885805
CDS	7417636	7417959	-	hypothetical protein	CCNA_03925	NA		210.283216423
CDS	7415463	7416626	-	hypothetical protein with pentapeptide repeats	CCNA_00624	CC_0587		6.35356814661
CDS	7413017	7414930	-	methyl-accepting chemotaxis protein	CCNA_00626	CC_0589		19.8180451824
CDS	7412477	7412938	-	hypothetical protein	CCNA_00627	CC_0590		4.47061645416
CDS	7412088	7412471	-	chemotaxis protein cheY	CCNA_00628	CC_0591	cheY	8.35198583031
CDS	7398405	7401419	-	tetratricopeptide repeat family protein	CCNA_00637	CC_0601		41.638364536
CDS	7395730	7398438	-	heme:hemopexin-binding protein	CCNA_00638	CC_0602		68.51926809
CDS	7394108	7395733	-	heme:hemopexin-binding protein	CCNA_00639	CC_0603		78.8131738367
CDS	7393687	7393962	-	hypothetical protein	CCNA_00640	CC_0604		2.86389069486
CDS	7393187	7393483	-	hypothetical protein	CCNA_00641	CC_0605		21.097405704
CDS	7392960	7393217	-	hypothetical protein	CCNA_00642	CC_0606		24.5213144821
CDS	7375549	7377531	-	hypothetical protein	CCNA_00655	CC_0619		64.8336473566
CDS	7367057	7368037	-	transposase	CCNA_00660	CC_0624		141.63479196
CDS	7366626	7367060	-	transposase, HTH-Tnp1 superfamily	CCNA_00661	CC_0625		344.703922836
CDS	7366295	7366642	-	hypothetical protein	CCNA_00662	CC_0626		41.9114076481
CDS	7365916	7366251	-	bacterial apoptosis endonuclease BapE	CCNA_00663	CC_0627	bapE	8.5446459648
tRNA	7365418	7365494	-	tRNA-Arg	CCNA_R0010	CC_t05		80.5890889845
CDS	7361169	7362353	-	lipopolysaccharide biosynthesis protein	CCNA_00667	CC_0631		20.7010169825
CDS	7360106	7361158	-	capsular polysaccharide biosynthesis protein	CCNA_00668	CC_0632		33.002689705
CDS	7357653	7360109	-	glycosyltransferase family 99 protein WbsX	CCNA_00669	CC_0633		36.7497738022
CDS	7356904	7357656	-	ABC-type polysaccharide/polyol phosphate transport system, ATPase component	CCNA_00670	CC_0634		84.5441202133
CDS	7356103	7356894	-	ABC-type polysaccharide/polyol phosphate export system, permease component	CCNA_00671	CC_0635		260.246798237
CDS	7355166	7355969	-	hypothetical protein	CCNA_00672	CC_0636		6.80655121914
CDS	7352725	7353972	-	NAD(FAD)-utilizing dehydrogenase	CCNA_00674	CC_0638		37.2590660096
CDS	7352364	7352759	-	VapC-like PIN domain ribonuclease	CCNA_00675	CC_0639		141.283279232
CDS	7352125	7352364	-	PSK-family transcription factor	CCNA_00676	NA		759.568551569
CDS	7351288	7351977	-	LSU ribosomal protein L1P	CCNA_00677	CC_0640		2256.35084815
CDS	7350852	7351283	-	LSU ribosomal protein L11P	CCNA_00678	CC_0641		10484.2755914
CDS	7348612	7349247	-	2-hydroxychromene-2-carboxylate isomerase	CCNA_00680	CC_0643		16.9852133664
CDS	7347878	7348615	-	short chain dehydrogenase	CCNA_00681	CC_0644		16.607408016
CDS	7345399	7346928	-	Deoxyribodipyrimidine photo-lyase-related protein	CCNA_00683	CC_0646		5.89663282217
CDS	7344748	7345386	-	anti-sigma factor, ChrR-family	CCNA_00684	CC_0647	chrR	57.0387828533
CDS	7344134	7344751	-	RNA polymerase sigma factor	CCNA_00685	CC_0648		26.0998312941
CDS	7342132	7342503	-	hypothetical protein	CCNA_00687	CC_0650		41.2427161023
CDS	7340763	7342073	-	hypothetical protein	CCNA_00688	CC_0651		13.0587409543
CDS	7337652	7338155	-	CarD-family transcriptional regulator	CCNA_00690	CC_0653		1498.62995282
CDS	7336958	7337299	-	ferredoxin	CCNA_00691	CC_0654		530.799049368
CDS	7334081	7334374	-	heat shock protein 15	CCNA_00693	CC_0656		45.0460962074
CDS	7331517	7334084	-	ATP-dependent DNA helicase	CCNA_00694	CC_0657		44.7998358842
CDS	7329711	7331345	-	metal-dependent hydrolase	CCNA_00695	CC_0658		68.9753008961
CDS	7328044	7328541	-	hypothetical protein	CCNA_00698	CC_0660		42.4169934657
CDS	7324835	7326760	-	TonB-dependent receptor	CCNA_00700	CC_0663		7.94386897221
CDS	7322544	7322834	-	hypothetical protein	CCNA_00705	CC_0669		278.755647513
CDS	7321856	7322269	-	hypothetical protein	CCNA_00706	CC_0670		1.94583633418
CDS	7320674	7321756	-	hypothetical protein	CCNA_00707	CC_0671		51.3108202325
CDS	7318749	7320677	-	cobaltochelatase cobT subunit	CCNA_00708	CC_0672		160.076238899
CDS	7317169	7318338	-	alpha/beta hydrolase family protein	CCNA_00710	CC_0674		9.66784674888
CDS	7315607	7315921	-	hypothetical protein	CCNA_00712	NA		83.2111514209
CDS	7315436	7315567	-	hypothetical protein	CCNA_03926	NA		19.5474754638
CDS	7315150	7315419	-	hypothetical protein	CCNA_00714	NA		23.117413471
CDS	7314765	7315061	-	hypothetical protein	CCNA_03927	NA		14.1533103514
CDS	7314532	7314723	-	hypothetical protein	CCNA_03928	NA		113.221065703
CDS	7314292	7314468	-	hypothetical protein	CCNA_00716	CC_0678		141.123844504
CDS	7314025	7314138	-	hypothetical protein	CCNA_03929	NA		99.5148596442
CDS	7313076	7313972	-	abortive infection protein	CCNA_00718	CC_0679		240.394630422
CDS	7312965	7313069	-	hypothetical protein	CCNA_03930	NA		175.738490679
CDS	7312129	7312422	-	hypothetical protein	CCNA_03931	NA		986.53319915
CDS	7311872	7312126	-	hypothetical protein	CCNA_03932	NA		6176.1557831
CDS	7311581	7311841	-	hypothetical protein	CCNA_03933	NA		11598.1930368
CDS	7306274	7307917	-	chaperonin GroEL	CCNA_00721	CC_0685		3191.8304076
CDS	7305926	7306216	-	chaperonin GroES	CCNA_00722	CC_0686		3925.11055583
CDS	7304247	7304909	-	O6-methylguanine-DNA methyltransferase	CCNA_00725	CC_0689		2.25651608502
CDS	7302889	7304196	-	acyl-CoA dehydrogenase	CCNA_00726	CC_0690		33.7416436154
CDS	7296585	7298498	-	DNA mismatch repair protein mutL	CCNA_00731	CC_0695	mutL	48.7247012653
CDS	7292829	7293398	-	beta-barrel assembly machine (BAM) protein BamF	CCNA_00735	CC_0699	bamF	1235.13189492
CDS	7292210	7292716	-	lipoprotein signal peptidase	CCNA_00736	CC_0700		141.048418462
CDS	7289154	7292063	-	isoleucyl-tRNA synthetase	CCNA_00737	CC_0701	ileS	203.15703265
CDS	7289154	7292063	-	isoleucyl-tRNA synthetase	CCNA_00737	CC_0701	ileS	203.15703265
CDS	7289031	7289075	-	hypothetical protein	CCNA_03934	NA		1.61519046086
CDS	7287749	7288840	-	DegQ-family trypsin-like serine prototease	CCNA_00738	CC_0702		47.1938462782
CDS	7286405	7287346	-	riboflavin kinase/FMN adenylyltransferase	CCNA_00740	CC_0703		134.957136079
CDS	7285980	7286405	-	3-hydroxybutyryl-CoA dehydratase	CCNA_00741	CC_0704		107.589315293
CDS	7285062	7285922	-	HAD superfamily sugar phosphatase	CCNA_00742	CC_0705		157.227817074
CDS	7283085	7283789	-	hypothetical protein	CCNA_00745	CC_0708		7.4831430394
CDS	7282363	7283088	-	ADA regulatory protein/O6-methylguanine-DNA	CCNA_00746	CC_0709		13.2902810131
CDS	7280906	7282264	-	cyclic-di-GMP phosphodiesterase, flagellum assembly factor TipF	CCNA_00747	CC_0710	tipF	126.213496318
CDS	7277238	7278266	-	FeaR-family transcriptional regulator	CCNA_00750	CC_0713		90.0539317079
CDS	7275626	7276867	-	hypothetical protein	CCNA_00751	CC_0714		94.9314538377
CDS	7274597	7275475	-	3-hydroxybutyryl-CoA dehydrogenase	CCNA_00752	CC_0715		528.099751406
CDS	7273422	7274459	-	lysine 2,3-aminomutase	CCNA_00753	CC_0716		41.6956049063
CDS	7272563	7273264	-	Nodulin-21 / CCC1-related protein	CCNA_00754	CC_0717		39.9656101212
CDS	7271975	7272415	-	tellurium resistance protein terB	CCNA_00755	CC_0718	terB	107.205519917
CDS	7271739	7272017	-	hypothetical protein	CCNA_00756	CC_0719		442.212662533
CDS	7270545	7271603	-	lysyl-tRNA synthetase	CCNA_00757	CC_0720		19.4577831014
CDS	7270545	7271603	-	lysyl-tRNA synthetase	CCNA_00757	CC_0720		19.4577831014
CDS	7267184	7269658	-	TonB-dependent receptor	CCNA_00759	CC_0722		5.94439034761
CDS	7265349	7267049	-	two component sensor histidine kinase	CCNA_00760	CC_0723		35.5423800376
CDS	7264995	7265204	-	hypothetical protein	CCNA_00761	CC_0724		236.827301323
CDS	7264654	7264998	-	hypothetical protein	CCNA_00762	CC_0725		60.7276500446
CDS	7263708	7264649	-	electron transfer flavoprotein alpha subunit	CCNA_00763	CC_0726		559.770873989
CDS	7262962	7263708	-	electron transfer flavoprotein beta subunit	CCNA_00764	CC_0727		1562.62379541
CDS	7261679	7262257	-	cobalamin adenosyltransferase family protein	CCNA_00766	CC_0729		193.760088834
CDS	7261438	7261641	-	hypothetical protein	CCNA_00767	CC_0730		61.1040803023
CDS	7258620	7258838	-	hypothetical protein	CCNA_00772	CC_0735		1.65944225431
CDS	7254266	7255423	-	aspartate aminotransferase	CCNA_00775	CC_0738		25.1615081346
CDS	7250610	7254173	-	OAR protein precursor	CCNA_00776	CC_0739		4.21897129533
CDS	7248073	7250496	-	PAS family GGDEF/EAL protein	CCNA_00777	CC_0740		39.6451297215
CDS	7246081	7247913	-	GTP-binding protein TypA/BipA	CCNA_00778	CC_0741		775.060113248
CDS	7244173	7245099	-	N-formylglutamate deformylase	CCNA_00780	CC_0743		73.242222779
CDS	7241751	7243370	-	aminobenzoyl-glutamate transport protein	CCNA_00782	CC_0745		57.2009232885
CDS	7239433	7241409	-	secreted protease precursor sapA	CCNA_00783	CC_0746	sapA	33.9122595054
CDS	7235927	7237702	-	tRNA methyltransferase/FAD-dependent oxidoreductase MnmC	CCNA_00785	CC_0748		35.2333881991
CDS	7235927	7237702	-	tRNA methyltransferase/FAD-dependent oxidoreductase MnmC	CCNA_00785	CC_0748		35.2333881991
CDS	7235417	7235743	-	hypothetical protein	CCNA_03938	NA		557.462982912
CDS	7234439	7235305	-	chemotaxis motA protein	CCNA_00787	CC_0750	motA	238.837906058
CDS	7232336	7232986	-	hypoxia transcriptional regulator FixK	CCNA_00789	CC_0752	fixK	6.48030043771
CDS	7229649	7230833	-	glycosyltransferase	CCNA_00792	CC_0755		8.67142600267
CDS	7226271	7226879	-	two-component response regulator FixJ	CCNA_00795	CC_0758	fixJ	108.294343184
CDS	7224791	7226278	-	oxygen sensory histidine kinase FixL	CCNA_00796	CC_0759	fixL	49.9943781256
CDS	7222967	7224565	-	ABC transporter, ATP-binding protein cydC	CCNA_00798	CC_0760	cydC	9.17256965517
CDS	7221154	7222794	-	ABC transporter, ATP-binding protein cydD	CCNA_00799	CC_0761	cydD	6.35040033799
CDS	7217000	7217485	-	ASC-1 homology domain protein	CCNA_00804	CC_0765		281.443198938
CDS	7216081	7216770	-	GTP-binding protein YihA	CCNA_00805	CC_0766	yihA	553.584584936
CDS	7214234	7216081	-	inner membrane protein translocase component yidC	CCNA_00806	CC_0767	yidC	586.699580469
CDS	7213777	7214226	-	ribonuclease P protein component	CCNA_00807	CC_0768		148.227374585
CDS	7213549	7213683	-	LSU ribosomal protein L34P	CCNA_00808	CC_0769		1742.27454365
CDS	7212274	7213269	-	quinone oxidoreductase	CCNA_00809	CC_0770		44.5788918423
CDS	7210973	7212115	-	acetyl esterase	CCNA_00810	CC_0771		78.9525022189
CDS	7210306	7210941	-	TetR-family transcriptional regulator	CCNA_00811	CC_0772		82.5118523164
CDS	7209833	7210084	-	hypothetical protein	CCNA_00812	CC_0773		21.8964063964
CDS	7208328	7209704	-	flavin-binding monooxygenase-related protein	CCNA_00813	CC_0774		4.13474682246
CDS	7207779	7208102	-	hypothetical protein	CCNA_00814	CC_0775		31.724284862
CDS	7206135	7207586	-	lignostilbene-alpha,beta-dioxygenase	CCNA_00815	CC_0776		16.5252505441
CDS	7205947	7206138	-	hypothetical protein	CCNA_00816	NA		47.0676595234
CDS	7204575	7205903	-	L-sorbosone dehydrogenase	CCNA_00817	CC_0777		45.7325865674
CDS	7203692	7204414	-	glutathione S-transferase	CCNA_00818	CC_0778		4.43590948664
CDS	7202464	7203636	-	3-ketoacyl-CoA thiolase	CCNA_00820	CC_0779		16.2525958298
CDS	7201970	7202419	-	hypothetical protein	CCNA_00821	CC_0780		29.3628165863
CDS	7201554	7201898	-	hypothetical protein	CCNA_00822	CC_0781		409.837023024
CDS	7200615	7201418	-	LuxR-like DNA-binding protein	CCNA_00823	CC_0782		175.685863537
CDS	7200949	7201311	-	hypothetical protein	CCNA_03941	NA		233.518496898
CDS	7199805	7200533	-	GntR-family transcriptional regulator	CCNA_00824	CC_0783		98.6105349006
CDS	7199034	7199642	-	2-dehydro-3-deoxy-6-phosphogalactonate aldolase	CCNA_00825	CC_0784		10.5723365757
CDS	7198117	7199037	-	2-dehydro-3-deoxygalactonokinase	CCNA_00826	CC_0785		12.1862700487
CDS	7187378	7188277	-	LysR-family transcriptional regulator	CCNA_00832	CC_0790		38.4112481473
CDS	7186369	7186503	-	hypothetical protein	CCNA_03942	NA		47.1545881767
CDS	7181120	7182736	-	alpha-L-fucosidase	CCNA_00837	CC_0795		10.205441583
CDS	7178986	7180959	-	alpha-glucosidase	CCNA_00838	CC_0796		8.72337857184
CDS	7172440	7174056	-	carboxylesterase type B	CCNA_00841	CC_0799		2.14634539441
CDS	7170626	7172350	-	hypothetical protein	CCNA_00842	CC_0800		15.2898844822
CDS	7169214	7170542	-	endo-beta-mannanase	CCNA_00843	CC_0801		14.3858597339
CDS	7168857	7169138	-	toxin protein relE-1	CCNA_00844	CC_0802	relE-1	46.5226401359
CDS	7168597	7168860	-	antitoxin protein relB-1	CCNA_00845	CC_0803	relB-1	101.362378637
CDS	7165469	7168558	-	proline dehydrogenase/delta-1-pyrroline-5-carboxylate dehydrogenase	CCNA_00846	CC_0804		176.563447526
CDS	7164365	7164529	-	leucine-responsive regulatory protein	CCNA_00848	NA		102.986746317
CDS	7162725	7164128	-	outer membrane efflux protein	CCNA_00849	CC_0806		66.8617237115
CDS	7159568	7162723	-	cation/multidrug efflux pump acrB2	CCNA_00850	CC_0807	acrB2	92.5452699774
CDS	7158389	7159555	-	periplasmic multidrug efflux lipoprotein precursor	CCNA_00851	CC_0808		165.481764328
CDS	7156843	7157610	-	3-isopropylmalate dehydrogenase	CCNA_00853	CC_0810		12.5240354094
CDS	7154267	7155124	-	rhamnogalacturonan acetylesterase	CCNA_00855	CC_0812		4.37682729778
CDS	7152504	7154126	-	beta-xylosidase	CCNA_00856	CC_0813		2.91465746287
CDS	7150896	7152332	-	glucose/fructose transport protein	CCNA_00857	CC_0814		77.7542234641
CDS	7147296	7148183	-	acetyltransferase, GNAT family	CCNA_00859	CC_0816		49.7857904299
CDS	7147004	7147240	-	holdfast inhibitor protein HfiA	CCNA_00860	CC_0817	hfiA	530.917193573
CDS	7146302	7146880	-	hypothetical protein	CCNA_00861	CC_0818		31.9429020222
CDS	7144388	7146163	-	xylonate dehydratase xylD	CCNA_00862	CC_0819	xylD	63.1360080376
CDS	7143526	7144395	-	xylonolactonase xylC	CCNA_00863	CC_0820	xylC	359.700130822
CDS	7142655	7143401	-	xylose dehydrogenase xylB	CCNA_00864	CC_0821	xylB	9.88817654124
CDS	7141213	7142649	-	alpha-ketoglutaric semialdehyde dehydrogenase xylA	CCNA_00865	CC_0822	xylA	6.35622968417
CDS	7140042	7141196	-	fumarylacetoacetate hydrolase family protein	CCNA_00866	CC_0823	xylX	8.21492161342
CDS	7135476	7138433	-	DNA modification methyltransferase-related protein	CCNA_00869	CC_0826		113.225097025
CDS	7134973	7135410	-	hypothetical protein	CCNA_00870	CC_0827		63.5912100535
CDS	7134102	7134953	-	carbon-nitrogen hydrolase family protein	CCNA_00871	CC_0828		91.9883669378
CDS	7133851	7134105	-	glutaredoxin	CCNA_00872	CC_0829		174.701850582
CDS	7133025	7133822	-	amidophosphoribosyltransferase family protein	CCNA_00873	CC_0830		6.06075931858
CDS	7131935	7132108	-	Flp/Fap pilin component protein	CCNA_00875	CC_0832		190.585512353
CDS	7131552	7131956	-	7,8-dihydro-8-oxoguanine-triphosphatase	CCNA_00876	CC_0833		138.809169097
CDS	7130912	7131520	-	hypothetical protein	CCNA_00877	CC_0834		95.2355680907
CDS	7124909	7126468	-	hypothetical protein	CCNA_00880	CC_0837		42.1172560677
CDS	7124160	7124912	-	ABC transporter ATP-binding protein	CCNA_00881	CC_0838		127.067548357
CDS	7123006	7124004	-	hypothetical protein	CCNA_00882	CC_0839		3.99856647498
